epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,3,1,2.71e-04,0.490677,0.000102,34.0204,0.000000,0.000000,0.000000,0.037843,0.131949,0.523724,0.000140,33.5850,2.7660
2,3,1,1.96e-04,0.395877,0.000101,26.8354,0.000000,0.000000,0.000000,0.020272,0.002148,0.447261,0.000120,26.4764,2.3594
3,3,1,1.04e-04,0.360037,0.000095,20.3592,0.000000,0.000000,0.000000,0.014682,0.001549,0.438665,0.000117,26.7449,2.2970
4,3,1,2.86e-05,0.325651,0.000090,13.7672,0.000000,0.000000,0.000000,0.011000,0.001164,0.407458,0.000120,11.4819,2.3654
5,3,1,0.00e+00,0.307637,0.000088,9.6771,0.000000,0.000000,0.000000,0.009427,0.000995,0.400123,0.000117,12.6300,2.2983
6,3,2,2.93e-04,0.452179,0.000096,27.1407,0.139377,0.100941,0.237343,0.016640,0.001435,0.486626,0.000123,23.0735,2.4138
7,3,2,2.71e-04,0.453180,0.000098,26.2614,0.132469,0.102130,0.229384,0.018063,0.001476,0.605208,0.000129,45.0701,2.5374
8,3,2,2.38e-04,0.437932,0.000097,23.6970,0.125948,0.101174,0.207536,0.016563,0.001415,0.523895,0.000149,13.5032,2.9409
9,3,2,1.96e-04,0.413337,0.000093,21.8964,0.110562,0.102822,0.193624,0.013744,0.001255,0.494177,0.000128,21.5835,2.5310
10,3,2,1.50e-04,0.378408,0.000091,16.3893,0.087751,0.104866,0.146112,0.013068,0.001268,0.446322,0.000114,19.7387,2.2498
11,3,2,1.04e-04,0.354867,0.000087,14.6920,0.078350,0.101377,0.131291,0.010981,0.001031,0.437840,0.000117,16.0950,2.3021
12,3,2,6.18e-05,0.332738,0.000085,11.7541,0.063966,0.103592,0.106050,0.009523,0.000961,0.405352,0.000114,11.4592,2.2308
13,3,2,2.86e-05,0.313649,0.000082,9.5333,0.054606,0.103318,0.087631,0.008721,0.000889,0.417150,0.000111,15.3838,2.1884
14,3,2,7.34e-06,0.304293,0.000081,8.3811,0.049706,0.101987,0.077489,0.008104,0.000854,0.401869,0.000113,10.9331,2.2224
15,3,2,0.00e+00,0.301601,0.000082,7.5314,0.046243,0.101886,0.070793,0.008202,0.000822,0.380565,0.000109,9.0322,2.1394
16,3,3,9.76e-05,0.261159,0.000082,11.2338,0.061726,0.101289,0.101470,0.008719,0.000897,0.326999,0.000125,15.2560,2.4669
17,3,3,9.05e-05,0.258090,0.000082,10.9457,0.060027,0.100787,0.098772,0.008837,0.000912,0.271790,0.000123,9.1861,2.4247
18,3,3,7.94e-05,0.257408,0.000081,10.9632,0.061447,0.100495,0.099258,0.008971,0.000914,0.278720,0.000113,11.9453,2.2302
19,3,3,6.55e-05,0.244441,0.000081,9.8640,0.056294,0.096973,0.090571,0.008905,0.000907,0.310633,0.000115,14.7977,2.2733
20,3,3,5.00e-05,0.232325,0.000080,8.9494,0.052070,0.099465,0.082380,0.008652,0.000878,0.313924,0.000114,15.5417,2.2492
21,3,3,3.45e-05,0.225043,0.000079,8.4097,0.049952,0.098527,0.077612,0.008276,0.000864,0.261051,0.000111,9.9265,2.1937
22,3,3,2.06e-05,0.215371,0.000078,7.6582,0.046765,0.098401,0.071536,0.008271,0.000833,0.256946,0.000112,9.3277,2.2107
23,3,3,9.55e-06,0.209459,0.000078,7.1517,0.044770,0.100049,0.067613,0.008169,0.000819,0.258452,0.000109,10.0876,2.1452
24,3,3,2.45e-06,0.205732,0.000078,6.8304,0.043520,0.099541,0.064235,0.008223,0.000813,0.237841,0.000107,8.0856,2.1098
25,3,3,0.00e+00,0.203559,0.000078,6.5980,0.042667,0.098959,0.062464,0.008274,0.000810,0.238772,0.000107,8.1894,2.1107
26,3,3,2.45e-06,0.203801,0.000078,6.7311,0.042637,0.098828,0.058977,0.008363,0.000814,0.239034,0.000107,8.2232,2.1105
